time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.616820,0.0133,-0.0210,-0.0183,0.031
0.622325,0.0084,-0.0112,0.0008,0.014
0.626823,-0.0155,0.0174,0.0056,0.024
0.638996,0.0036,0.0124,0.0055,0.014
0.639766,0.0036,-0.0019,-0.0325,0.033
0.641678,-0.0060,0.0124,-0.0227,0.027
0.646792,-0.0059,0.0124,0.0012,0.014
0.652417,-0.0202,-0.0066,-0.0226,0.031
0.658913,0.0274,-0.0018,0.0061,0.028
0.662101,0.0034,0.0220,-0.0224,0.032
0.666823,0.0177,0.0028,0.0205,0.027
0.671822,-0.0110,0.0077,0.0346,0.037
0.676798,-0.0062,0.0124,0.0153,0.021
0.682795,0.0176,0.0266,0.0199,0.038
0.686735,0.0175,-0.0210,0.0008,0.027
0.691694,0.0033,-0.0113,0.0198,0.023
0.696967,-0.0061,0.0126,-0.0136,0.020
0.701782,0.0081,0.0078,0.0055,0.013
0.706629,0.0080,0.0078,0.0054,0.012
0.711707,0.0175,0.0173,0.0149,0.029
0.716620,0.0267,0.0030,0.0100,0.029
0.721986,-0.0067,-0.0113,0.0004,0.013
0.726806,-0.0020,-0.0017,0.0242,0.024
0.731761,0.0028,0.0221,0.0002,0.022
0.739817,-0.0020,0.0076,-0.0140,0.016
0.742047,-0.0115,0.0076,0.0098,0.017
0.746939,0.0077,0.0218,0.0145,0.027
0.753750,0.0077,0.0169,0.0049,0.019
0.759848,0.0076,0.0263,0.0096,0.029
0.762001,-0.0209,0.0119,0.0143,0.028
0.766668,-0.0017,0.0118,0.0141,0.018
0.771543,-0.0159,0.0165,0.0235,0.033
0.776572,0.0035,-0.0120,0.0186,0.022
0.781847,-0.0060,0.0071,-0.0053,0.011
0.787384,0.0035,-0.0166,-0.0005,0.017
0.791740,-0.0250,0.0026,-0.0148,0.029
0.796662,0.0133,-0.0068,-0.0004,0.015
0.801813,0.0037,-0.0067,0.0044,0.009
0.807042,0.0037,-0.0208,-0.0099,0.023
0.811746,0.0084,-0.0111,0.0187,0.023
0.816788,0.0180,-0.0014,0.0138,0.023
0.821708,0.0132,0.0034,0.0041,0.014
0.826566,-0.0107,0.0129,-0.0006,0.017
0.831590,-0.0105,-0.0061,-0.0054,0.013
0.836446,0.0085,0.0082,-0.0053,0.013
0.845673,0.0131,-0.0013,0.0090,0.016
0.846386,0.0036,-0.0013,-0.0149,0.015
0.851364,0.0084,-0.0251,0.0043,0.027
0.857893,-0.0106,-0.0153,-0.0100,0.021
0.861857,-0.0057,-0.0151,-0.0099,0.019
0.866537,0.0086,0.0041,-0.0051,0.011
0.871264,-0.0058,0.0089,0.0234,0.026
0.876360,-0.0011,0.0279,0.0137,0.031
0.881636,-0.0011,-0.0009,0.0089,0.009
0.886433,0.0131,0.0086,0.0041,0.016
0.891427,-0.0013,0.0133,-0.0007,0.013
0.896231,-0.0108,0.0037,0.0325,0.034
0.901275,0.0130,0.0084,-0.0105,0.019
0.906394,-0.0061,0.0036,0.0038,0.008
0.911348,-0.0012,-0.0011,0.0086,0.009
0.916308,0.0130,-0.0057,-0.0200,0.025
0.921251,-0.0251,-0.0151,-0.0056,0.030
0.926253,0.0084,0.0089,0.0230,0.026
0.931262,-0.0011,-0.0053,0.0133,0.014
0.936323,0.0275,0.0138,0.0322,0.045
0.947249,0.0130,0.0185,-0.0298,0.037
0.948165,-0.0012,0.0231,0.0179,0.029
0.953135,0.0036,-0.0055,-0.0155,0.017
0.957318,-0.0345,0.0040,0.0036,0.035
0.962601,-0.0106,-0.0101,0.0083,0.017
0.968751,-0.0009,-0.0006,-0.0060,0.006
0.971441,0.0088,0.0184,-0.0012,0.020
0.976177,0.0228,0.0087,-0.0107,0.027
0.982200,0.0369,0.0182,-0.0153,0.044
0.986479,0.0083,0.0085,0.0038,0.012
0.991394,0.0083,-0.0057,0.0085,0.013
0.996121,-0.0011,0.0086,-0.0105,0.014
1.001158,0.0133,0.0085,-0.0104,0.019
1.006792,-0.0201,0.0133,0.0134,0.028
1.011204,-0.0057,-0.0106,0.0180,0.022
1.016818,0.0230,-0.0199,0.0131,0.033
1.021454,-0.0009,0.0041,0.0130,0.014
1.026142,-0.0199,-0.0053,0.0034,0.021
1.031210,0.0088,-0.0052,-0.0061,0.012
1.036016,-0.0102,0.0044,0.0034,0.012
1.047800,0.0135,0.0187,0.0129,0.026
1.048475,-0.0056,-0.0053,0.0033,0.008
1.052741,0.0134,0.0185,-0.0015,0.023
1.056528,0.0039,-0.0007,0.0223,0.023
1.061358,-0.0008,-0.0006,0.0174,0.017
1.066826,0.0183,-0.0102,0.0220,0.030
1.070976,0.0040,-0.0100,0.0265,0.029
1.075933,0.0088,-0.0051,-0.0117,0.015
1.081302,-0.0008,-0.0145,-0.0163,0.022
1.086030,-0.0008,0.0000,0.0076,0.008
1.091918,-0.0007,0.0048,0.0122,0.013
1.095895,-0.0007,0.0047,-0.0021,0.005
1.100786,-0.0056,-0.0239,-0.0021,0.025
1.106236,-0.0104,0.0096,-0.0021,0.014
1.110955,0.0325,0.0000,0.0074,0.033
1.116879,0.0085,0.0144,0.0026,0.017
1.120857,0.0038,0.0238,-0.0116,0.027
1.126235,0.0276,-0.0049,-0.0210,0.035
1.131162,0.0084,-0.0001,0.0124,0.015
1.136078,-0.0153,0.0048,0.0075,0.018
1.148845,0.0037,0.0001,0.0027,0.005
1.149562,-0.0154,-0.0046,-0.0210,0.026
1.150718,-0.0010,0.0240,0.0314,0.039
1.155784,-0.0106,0.0049,0.0074,0.014
1.161139,-0.0057,-0.0141,0.0073,0.017
1.167389,0.0086,0.0146,-0.0117,0.021
1.170926,-0.0200,0.0242,-0.0164,0.035
1.175771,-0.0055,0.0192,-0.0020,0.020
1.180723,-0.0101,0.0143,-0.0305,0.035
1.186836,0.0043,-0.0095,-0.0065,0.012
1.192121,0.0139,0.0049,-0.0017,0.015
1.195825,-0.0052,0.0049,-0.0112,0.013
1.200734,-0.0147,0.0192,-0.0206,0.032
1.205827,0.0044,0.0238,-0.0014,0.024
1.210695,0.0091,-0.0049,-0.0014,0.010
1.215835,-0.0052,-0.0049,-0.0156,0.017
1.220799,-0.0099,0.0284,-0.0155,0.034
1.227960,-0.0097,-0.0003,0.0131,0.016
1.230597,-0.0001,0.0141,0.0083,0.016
1.238379,0.0141,0.0282,0.0082,0.033
1.242267,0.0046,0.0091,0.0319,0.033
1.245774,0.0093,0.0043,-0.0159,0.019
1.250521,0.0093,0.0187,-0.0062,0.022
1.255627,-0.0001,-0.0004,-0.0014,0.001
1.260779,-0.0095,-0.0051,-0.0252,0.027
1.265802,0.0096,0.0377,-0.0202,0.044
1.270758,0.0048,-0.0100,-0.0058,0.013
1.275665,0.0238,0.0186,0.0038,0.030
1.280526,0.0236,-0.0051,-0.0058,0.025
1.286070,0.0091,0.0093,-0.0105,0.017
1.290623,0.0186,-0.0049,-0.0009,0.019
1.295531,0.0375,-0.0191,-0.0056,0.042
1.300793,-0.0246,0.0192,-0.0293,0.043
1.305668,0.0041,0.0144,-0.0053,0.016
1.310792,0.0136,0.0143,-0.0100,0.022
1.315747,-0.0102,-0.0001,-0.0004,0.010
1.320692,-0.0054,0.0378,-0.0052,0.039
1.328034,0.0232,0.0234,-0.0384,0.051
1.330431,-0.0008,0.0090,-0.0001,0.009
1.339201,-0.0055,-0.0052,-0.0191,0.021
1.341125,0.0088,0.0091,-0.0047,0.013
1.345590,0.0087,0.0092,0.0001,0.013
1.350944,-0.0246,-0.0051,0.0096,0.027
1.355822,0.0278,0.0140,-0.0189,0.036
1.360530,0.0086,0.0139,-0.0093,0.019
1.367825,0.0369,0.0091,-0.0187,0.042
1.370609,0.0272,0.0043,-0.0043,0.028
1.375882,0.0033,0.0137,0.0005,0.014
1.380390,0.0128,0.0089,-0.0043,0.016
1.385267,-0.0014,0.0137,-0.0090,0.016
1.390654,-0.0012,0.0089,0.0006,0.009
1.395482,-0.0060,0.0135,-0.0136,0.020
1.400853,-0.0012,0.0181,0.0007,0.018
1.405407,0.0037,-0.0200,-0.0183,0.027
1.410365,-0.0153,0.0087,-0.0086,0.020
1.415617,-0.0010,0.0134,-0.0228,0.026
1.420741,0.0133,-0.0009,0.0011,0.013
1.428267,-0.0009,0.0229,0.0011,0.023
1.430458,-0.0009,-0.0200,-0.0084,0.022
1.440612,0.0087,0.0229,-0.0036,0.025
1.441308,0.0086,0.0132,-0.0083,0.018
1.445419,-0.0056,0.0084,-0.0082,0.013
1.450997,-0.0008,-0.0011,0.0156,0.016
1.456041,0.0086,0.0131,-0.0083,0.018
1.460261,-0.0200,0.0178,-0.0082,0.028
1.467931,-0.0009,-0.0011,-0.0034,0.004
1.470482,-0.0056,0.0085,-0.0081,0.013
1.475996,0.0040,0.0037,-0.0033,0.006
1.480251,-0.0055,0.0084,0.0110,0.015
1.485262,0.0040,-0.0153,0.0014,0.016
1.490192,-0.0150,0.0181,-0.0129,0.027
1.495202,-0.0196,-0.0153,-0.0128,0.028
1.501195,-0.0052,0.0182,0.0063,0.020
1.505504,-0.0052,0.0134,0.0063,0.016
1.510116,0.0377,0.0133,0.0062,0.040
1.515074,0.0183,-0.0009,0.0157,0.024
1.520116,0.0135,0.0181,-0.0034,0.023
1.526368,0.0038,0.0037,-0.0129,0.014
1.530183,0.0132,0.0132,-0.0080,0.020
1.535055,-0.0202,-0.0058,0.0015,0.021
1.540509,0.0037,0.0180,0.0063,0.019
1.545343,-0.0106,0.0084,-0.0080,0.016
1.550292,-0.0152,0.0035,-0.0080,0.018
1.557589,0.0038,0.0224,0.0016,0.023
1.560314,-0.0010,0.0034,0.0016,0.004
